unitcode,unitname,semester,type,level,major,credit_points,points_req,enrolment_req,incompatible_units,corequisites
CITS1003,Intro to Cybersecurity,S1,CORE_SP-ESOFT,1,SP-ESOFT,6,,,CITS3004,
CITS1401,Computational Thinking with Python,BOTH,CORE_SP-EAUTO;CORE_SP-EBIOM,1,,6,,,CITS2401,
CITS1402,Relational Database Management Systems,S2,CORE_SP-ESOFT,1,SP-ESOFT,6,,,CITS2232,
CITS2002,Systems Programming,S2,CORE_SP-EAUTO,2,,6,,,CITS1002,
CITS2005,Object Oriented Programming,S1,CORE_SP-ESOFT,2,SP-ESOFT,6,,,CITS1001,
CITS2200,Data Structures and Algorithms,S1,CORE_SP-EAUTO;CORE_SP-EBIOM,2,,6,,,,
CITS2211,Discrete Structures,S2,CORE_SP-ESOFT,2,SP-ESOFT,6,6P,,,
CITS2401,Computer Analysis and Visualisation,BOTH,CORE_SP-ECIVL;CORE_SP-EELEC;CORE_SP-EENVI;CORE_SP-EMINE,2,,6,,,CITS1401,
CITS3001,"Algorithms, Agents and Artificial Intelligence",S2,CORE_SP-EAUTO,3,,6,,,,
CITS3002,Computer Networks,S1,CORE_SP-ESOFT,3,SP-ESOFT,6,,,,
CITS3005,Knowledge Representation,S2,CORE_SP-ESOFT,3,SP-ESOFT,6,,,,
CITS3007,Secure Coding,S2,CORE_SP-ESOFT,3,SP-ESOFT,6,12P,,,
CITS3200,Professional Computing,S2,CORE_SP-ESOFT,3,SP-ESOFT,6,84,,CITS5206,
CITS3301,Software Requirements and Design,S1,CORE_SP-ESOFT,3,SP-ESOFT,6,,BH011,CITS4401,
CITS3403,Agile Web Development,S1,CORE_SP-ESOFT,3,SP-ESOFT,6,,,CITS5505,
CITS4009,Computational Data Analysis,S2,GROUP_B_SP-ECHEM,4,SP-ECHEM,6,96,,,
CITS4402,Computer Vision,S1,CORE_SP-EAUTO,4,,6,,,,
CITS4419,Mobile and Wireless Computing,S1,CORE_SP-ESOFT,4,SP-ESOFT,6,96,BH011;BH008;HON-CMSSE;62530;62550,,
CITS5501,Software Testing and Quality Assurance,S1,CORE_SP-ESOFT,5,SP-ESOFT,6,12P;120,BH011;BH008;62510;62550,,
CITS5503,Cloud Computing,S2,CORE_SP-ESOFT,5,SP-ESOFT,6,12P;120,BH011;BH008;HON-CMSSE;62510;62530;42630,,
CITS5507,High Performance Computing,S2,CORE_SP-ESOFT,5,SP-ESOFT,6,12P;120,BH011;62510;62530,CITS3402;SHPC4002,
CIVL2008,Structural Analysis,S2,CORE_SP-ECIVL,2,,6,,,ENSC3008,
CIVL2551,Civil Engineering Practice,S1,CORE_SP-ECIVL,2,,6,,,,
CIVL3401,Applied Geomechanics,S1,CORE_SP-ECIVL,3,,6,,,CIVL4401,
CIVL3402,Hydraulics for Civil Engineers,S1,CORE_SP-ECIVL,3,,6,,,CIVL4402,
CIVL3403,Structural Concrete Design,S2,CORE_SP-ECIVL,3,,6,,,CIVL4403,
CIVL3404,Structural Steel Design,S1,CORE_SP-ECIVL,3,,6,,,CIVL4404,
CIVL4430,Transportation and Pavement Engineering,S2,CORE_SP-ECIVL,4,,6,,,CIVL5502,
CIVL5501,Structural Dynamics,S2,CORE_SP-ECIVL,5,,6,,,,
